Year;Country Code;Country Name;Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Adjusted savings: education expenditure (% of GNI);Income_level_Final
1959;HTI;Haiti;0.228313746;1031;63.29;993.2466563;0;41.762;1.2844422;Low_Middle
1960;HTI;Haiti;0.228313746;1031;63.29;993.2466563;0;41.762;1.2844422;Low_Middle
1961;HTI;Haiti;0.228313746;1031;63.29;945.5892841;0;42.182;1.2844422;Low_Middle
1962;HTI;Haiti;0.223926664;1043;64.71;1000.570576;0;42.591;1.2844422;Low_Middle
1963;HTI;Haiti;0.219632457;1055.2;66.96;962.8072513;0;43;1.2844422;Low_Middle
1964;HTI;Haiti;0.215432791;1056.6;68.34;928.8394955;0;43.414;1.2844422;Low_Middle
1965;HTI;Haiti;0.211330509;1071.7;70.29;930.8497596;0;43.837;1.2844422;Low_Middle
1966;HTI;Haiti;0.207310315;1075.8;71.74;907.8842162;0;44.267;1.2844422;Low_Middle
1967;HTI;Haiti;0.203375904;1091.9;74.23;871.7928032;0;44.7;1.2844422;Low_Middle
1968;HTI;Haiti;0.199564816;1049.7;75.42;882.6735005;910000.0262;45.134;1.2844422;Low_Middle
1969;HTI;Haiti;0.195921822;1112.5;77.64;899.5933675;579999.9796;45.573;1.2844422;Low_Middle
1970;HTI;Haiti;0.192462732;1097.3;79.92;889.4649457;1440000.035;46.027;1.2844422;Low_Middle
1971;HTI;Haiti;0.189187633;1117;82.21;930.988954;1590000.004;46.508;1.1199429;Low_Middle
1972;HTI;Haiti;0.158765204;1148.7;85.17;924.5093912;2040000.036;47.019;1.1199429;Low_Middle
1973;HTI;Haiti;0.156141198;1066.4;86.21;952.4662727;2780000.001;47.559;1.1199429;Low_Middle
1974;HTI;Haiti;0.153486113;1175.4;88.2;990.3855498;2209999.979;48.119;1.1199429;Low_Middle
1975;HTI;Haiti;0.150748531;1117.7;89.25;983.6422777;5219999.969;48.683;0.9554436;Low_Middle
1976;HTI;Haiti;0.148315597;1238.9;91.67;1046.709731;6179999.91;49.232;1.0710335;Low_Middle
1977;HTI;Haiti;0.145430672;918.8;89.66;1064.408467;6039999.946;49.746;1.0710335;Low_Middle
1978;HTI;Haiti;0.14433702;803.9;94.08;1107.610155;7880000.203;50.215;1.0710335;Low_Middle
1979;HTI;Haiti;0.141299561;964.6;96.44;1166.279122;10590000.06;50.635;1.0710335;Low_Middle
1980;HTI;Haiti;0.138220111;1016.2;95.99;1224.996482;11530000.27;51.009;1.1866233;Low_Middle
1981;HTI;Haiti;0.135103162;1046.7;97.4;1163.214499;11609999.84;51.347;1.1478954;Low_Middle
1982;HTI;Haiti;0.131974626;1039.6;99.52;1095.784294;15039999.93;51.668;1.1861599;Low_Middle
1983;HTI;Haiti;0.128891064;1044.3;102;1079.900692;9620000.125;51.987;1.1580239;Low_Middle
1984;HTI;Haiti;0.125914352;1041.1;103;1058.135168;12180000.07;52.309;1.1511012;Low_Middle
1985;HTI;Haiti;0.123081332;1009.7;103.79;1040.571092;11859999.9;52.637;1.1792722;Low_Middle
1986;HTI;Haiti;0.120397478;991.2;102.6;1012.816885;13540000.02;52.97;1.6491;Low_Middle
1987;HTI;Haiti;0.117847132;969.7;101.47;983.494732;15689999.88;53.302;1.9254018;Low_Middle
1988;HTI;Haiti;0.115414954;957.7;98.79;965.1274664;16099999.76;53.628;1.8080857;Low_Middle
1989;HTI;Haiti;0.11308027;972.3;98.63;918.0548129;19629999.91;53.949;1.7130947;Low_Middle
1990;HTI;Haiti;0.110828246;1026.7;93.36;909.1122388;17180000.07;54.265;1.461652;Low_Middle
1991;HTI;Haiti;0.108656178;987.7;92;908.0561947;10739999.67;54.58;1.461652;Low_Middle
1992;HTI;Haiti;0.106564758;976.1;89.16;843.2887916;10559999.84;54.894;1.461652;Low_Middle
1993;HTI;Haiti;0.104547985;949.2;87.49;782.4359379;13969999.97;55.209;1.461652;Low
1994;HTI;Haiti;0.105231035;923.9;86.49;676.0951751;11679999.65;55.523;1.461652;Low
1995;HTI;Haiti;0.103299075;925.8;84.46;729.3719603;25710000.34;55.829;1.461652;Low
1996;HTI;Haiti;0.101428828;974;85.96;745.8213888;30470000.6;56.121;1.461652;Low
1997;HTI;Haiti;0.112069569;1004.1;91.02;752.3137212;26769999.77;56.393;1.461652;Low
1998;HTI;Haiti;0.110096053;913.6;89.47;755.1909042;17869999.95;56.648;1.461652;Low
1999;HTI;Haiti;0.108185339;969.4;92.56;762.19692;13400000.33;56.891;1.461652;Low
2000;HTI;Haiti;0.10633514;931.8;95.76;755.6798902;14000000.12;57.131;1.461652;Low
2001;HTI;Haiti;0.104543957;826.5;92.46;735.1914995;15859999.78;57.382;1.461652;Low
2002;HTI;Haiti;0.102808382;920.4;94.28;721.1682505;15500000;57.655;1.461652;Low
2003;HTI;Haiti;0.101122414;920.8;95.33;711.9223026;14829999.85;57.959;1.461652;Low
2004;HTI;Haiti;0.099479644;933.8;97.3;675.6840804;18159999.87;58.292;1.461652;Low
2005;HTI;Haiti;0.097876217;956.8;101.4;676.7928998;16800000.19;58.652;1.461652;Low
2006;HTI;Haiti;0.096310402;962.9;101.31;680.9446717;17190000.08;59.028;1.461652;Low
2007;HTI;Haiti;0.110580698;959.8;110.5;692.553621;17850000.14;59.408;1.461652;Low
2008;HTI;Haiti;0.103663682;961.1;109.46;687.4479644;29709999.31;59.782;1.461652;Low
2009;HTI;Haiti;0.104748432;994.6;122.03;697.6889105;25330000.25;60.148;1.461652;Low
2010;HTI;Haiti;0.110560297;977.5;133.21;665.6274195;32359999.89;60.511;1.461652;Low
2011;HTI;Haiti;0.10494717;980.7;141.47;691.8942672;23640000.07;60.879;1.461652;Low
2012;HTI;Haiti;0.097552125;1077;143.36;701.4459637;20422796.1;61.26;1.461652;Low
2013;HTI;Haiti;0.102877958;1059.9;152.55;720.7128711;19383062.59;61.658;1.461652;Low
2014;HTI;Haiti;0.101431338;1006.8;158.18;730.3063521;19238141.34;62.069;1.461652;Low
2015;HTI;Haiti;0.100041681;1008.7;162;729.1196659;20588105.54;62.485;1.461652;Low
2016;HTI;Haiti;0.09870876;1042.7;157.13;729.8559997;23333668.05;62.896;1.461652;Low
2017;HTI;Haiti;0.10069461;1126;158.4042724;728.8450017;23253884.92;63.29;1.461652;Low
2018;HTI;Haiti;0.099760218;1037.061544;159.2097941;730.296713;21960660.11;62.66914027;1.461652;Low
2019;HTI;Haiti;0.099150263;1071.241878;158.4306227;729.4620629;0;62.97939762;1.461652;Low
1949;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1950;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1951;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1952;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1953;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1954;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1955;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1956;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1957;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1958;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1959;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1960;IDN;Indonesia;0.199781585;1541.7;20.13;690.3687744;0;46.664;1.6;Low_Middle
1961;IDN;Indonesia;0.199781585;1541.7;20.13;710.9817606;0;47.276;1.6;Low_Middle
1962;IDN;Indonesia;0.194555942;1553.5;21.55;705.1383388;0;47.877;1.6;Low_Middle
1963;IDN;Indonesia;0.18944318;1501.9;20.36;671.248287;0;48.468;1.6;Low
1964;IDN;Indonesia;0.184432403;1512.8;21.9;676.5601101;0;49.051;1.6;Low
1965;IDN;Indonesia;0.179520569;1559.8;21.76;665.6645685;0;49.629;1.6;Low
1966;IDN;Indonesia;0.174714153;1514.3;22.39;665.9258417;0;50.208;1.6;Low
1967;IDN;Indonesia;0.170026949;1549.3;21.59;657.0063324;0;50.789;1.6;Low
1968;IDN;Indonesia;0.16547171;1808.5;24.87;709.1964147;3200000.048;51.374;1.6;Low_Middle
1969;IDN;Indonesia;0.161061484;1944.1;25.19;737.3885521;4060000.062;51.963;1.6;Low_Middle
1970;IDN;Indonesia;0.156803743;2000.8;26.92;772.1296848;7780000.151;52.553;1.6;Low_Middle
1971;IDN;Indonesia;0.152697472;2081.7;27.78;804.7237857;10470000.27;53.14;1.6;Low_Middle
1972;IDN;Indonesia;0.148739047;2152.4;27.72;839.0281357;9719999.909;53.72;1.6;Low_Middle
1973;IDN;Indonesia;0.144927901;2127.2;30.16;883.7820938;19250000.12;54.288;1.547959006;Low_Middle
1974;IDN;Indonesia;0.141262656;2280.3;31.67;927.1985809;24099999.79;54.843;1.495918013;Low_Middle
1975;IDN;Indonesia;0.137740281;2307.3;31.04;949.0776695;34700000.77;55.386;1.443877019;Low_Middle
1976;IDN;Indonesia;0.134361506;2472.6;30.71;989.5523546;19909999.85;55.92;1.391836025;Low_Middle
1977;IDN;Indonesia;0.131120736;2424.5;32.09;1050.291335;20259999.99;56.448;1.339795031;Low_Middle
1978;IDN;Indonesia;0.128002976;2493;34.17;1094.701711;25869999.89;56.971;1.287754037;Low_Middle
1979;IDN;Indonesia;0.124991455;2622.4;35.65;1147.239664;48980000.27;57.488;1.235713044;Low_Middle
1980;IDN;Indonesia;0.122077071;2865.7;38.76;1231.195135;44500000.36;57.995;1.18367205;Low_Middle
1981;IDN;Indonesia;0.11925408;3022.1;41.55;1298.06599;53310000.63;58.489;1.131631056;Low_Middle
1982;IDN;Indonesia;0.116528817;3332.1;41.39;1296.895792;54130000.12;58.966;1.079590063;Low_Middle
1983;IDN;Indonesia;0.113917384;3320.3;44.5;1320.9919;57210000.75;59.423;1.027549069;Low_Middle
1984;IDN;Indonesia;0.111569011;3379.4;48.49;1382.393834;49950001.25;59.863;0.975508075;Low_Middle
1985;IDN;Indonesia;0.118194389;3513.3;49.6;1386.732772;50190000.53;60.287;0.923467081;Low_Middle
1986;IDN;Indonesia;0.119840151;3476.2;52.55;1438.627538;55419999.35;60.7;0.871426087;Low_Middle
1987;IDN;Indonesia;0.123294463;3604.7;53.34;1480.2316;63729999.06;61.107;0.819385094;Low_Middle
1988;IDN;Indonesia;0.120908042;3568.3;56.4;1536.505766;55370000.24;61.512;0.7673441;Low_Middle
1989;IDN;Indonesia;0.117053473;3778.6;59.76;1621.121658;60510000.22;61.915;0.8;Low_Middle
1990;IDN;Indonesia;0.111640043;3800.2;61.88;1707.818355;48609999.89;62.32;0.6262634;Low_Middle
1991;IDN;Indonesia;0.097951209;3862.1;62.98;1794.422812;53610000.62;62.727;0.6262634;Low_Middle
1992;IDN;Indonesia;0.096410039;3817.1;68.13;1878.973044;52300000.43;63.131;0.6262634;Low_Middle
1993;IDN;Indonesia;0.094990246;3916.3;68.9;1968.416471;42979998.97;63.529;0.4851828;Low_Middle
1994;IDN;Indonesia;0.088315925;3865.5;70.18;2083.362417;41299999.96;63.919;0.5;Low_Middle
1995;IDN;Indonesia;0.088059843;3842.8;76.56;2220.07695;38909999.97;64.291;0.6;Low_Middle
1996;IDN;Indonesia;0.089749324;3944.9;78;2358.119807;31509999.7;64.637;0.6;Low_Middle
1997;IDN;Indonesia;0.091210985;4011.4;75.11;2433.340736;30300000.55;64.954;0.6;Low_Middle
1998;IDN;Indonesia;0.090898224;3816.9;75.11;2084.142881;19959999.77;65.244;1.1462677;Low
1999;IDN;Indonesia;0.094432251;3895.7;75.39;2071.524683;19670000.48;65.513;1.3366824;Low
2000;IDN;Indonesia;0.09692038;4026.4;78.08;2143.659504;13350000.27;65.772;1.5270971;Low_Middle
2001;IDN;Indonesia;0.094204371;4044.9;80.48;2191.574177;35140000.33;66.037;1.7175118;Low_Middle
2002;IDN;Indonesia;0.092386842;4169.5;85.79;2259.307704;25820000.77;66.321;1.9079265;Low_Middle
2003;IDN;Indonesia;0.101702392;4248.1;91.86;2335.594045;27590000.29;66.631;2.0983412;Low_Middle
2004;IDN;Indonesia;0.110468349;4274.5;95.72;2420.397182;21980000.38;66.969;2.2887559;Low_Middle
2005;IDN;Indonesia;0.101401095;4311.3;98.01;2524.222424;32730000.32;67.334;2.4791706;Low_Middle
2006;IDN;Indonesia;0.093756161;4365.8;106.27;2627.905245;94040000.27;67.717;2.6695853;Low_Middle
2007;IDN;Indonesia;0.094674864;4464.8;108.82;2757.89367;29360000.03;68.105;2.86;Low_Middle
2008;IDN;Indonesia;0.096403036;4694.3;113.84;2885.309275;21590000.39;68.485;2.71;Low_Middle
2009;IDN;Indonesia;0.098901787;4812.7;121.03;2979.004714;19430000.31;68.853;3.27;Low_Middle
2010;IDN;Indonesia;0.097587515;4877.6;123.78;3122.362815;28319999.72;69.205;2.55;Low_Middle
2011;IDN;Indonesia;0.095872894;4886.3;126.36;3270.61949;62319999;69.542;2.86;Low_Middle
2012;IDN;Indonesia;0.094585517;5082;136.08;3421.27352;31751638.74;69.866;3.05;Low_Middle
2013;IDN;Indonesia;0.093325665;5085.4;137.21;3563.299864;39276120.96;70.179;3.05;Low_Middle
2014;IDN;Indonesia;0.092110264;5095.5;140.39;3692.973446;30247973.53;70.481;3.005216338;Low_Middle
2015;IDN;Indonesia;0.090950166;5306.6;143.84;3824.274885;31484376.31;70.768;3.268451507;Low_Middle
2016;IDN;Indonesia;0.089847526;5251.7;144.56;3968.055911;32793158.17;71.035;3.268451507;Low_Middle
2017;IDN;Indonesia;0.091599716;5166.3;141.6822488;4120.428561;24704483.16;71.282;3.268451507;Low_Middle
2018;IDN;Indonesia;0.090719533;5236.529092;143.4763136;4284.652535;16182811.44;70.88330381;3.229782295;Low_Middle
2019;IDN;Indonesia;0.090213122;5221.513802;144.2267162;4040.663726;0;71.08512857;3.263030698;Low_Middle
1949;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1950;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1951;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1952;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1953;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1954;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1955;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1956;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1957;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1958;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1959;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1960;IND;India;0.338972383;947.3;32.12;330.2053201;0;41.422;2.4661305;Low
1961;IND;India;0.338972383;947.3;32.12;335.7213437;0;42.027;2.4661305;Low_Middle
1962;IND;India;0.334060158;929.7;31.68;338.6111311;0;42.637;2.4661305;Low_Middle
1963;IND;India;0.328867123;965.8;32.4;351.6016511;0;43.252;2.4661305;Low
1964;IND;India;0.322660533;993.6;33.23;370.0604355;0;43.873;2.4661305;Low
1965;IND;India;0.316987791;854.4;31.67;352.8890531;0;44.5;2.4661305;Low
1966;IND;India;0.311185631;864.2;31.63;345.4215522;0;45.136;2.4661305;Low
1967;IND;India;0.307032712;993.7;33.55;364.7466166;0;45.779;2.4661305;Low
1968;IND;India;0.301156796;1036.6;35.4;369.2192305;13310000.42;46.428;2.4661305;Low_Middle
1969;IND;India;0.29456935;1053.7;36.62;384.9843464;6040000.26;47.081;2.4661305;Low_Middle
1970;IND;India;0.289198401;1134.8;38.52;396.0116955;22290000.14;47.737;2.4661305;Low
1971;IND;India;0.281325933;1136.1;38.96;393.5312742;28160000.14;48.398;2.2;Low
1972;IND;India;0.275666001;1107.8;37.34;382.450895;36310000.06;49.061;2.4;Low
1973;IND;India;0.27076679;1152.8;40.31;385.966286;39910000.07;49.722;2.4;Low
1974;IND;India;0.265276462;1074.5;39.04;381.5395861;47189999.32;50.374;2.5610908;Low
1975;IND;India;0.259729173;1260.8;43.38;406.8925351;111290000.3;51.012;2.2;Low
1976;IND;India;0.254155196;1198.7;42.99;404.2351321;50460000.04;51.63;2.4;Low
1977;IND;India;0.248401012;1331.1;46.53;423.7401893;78849998.96;52.222;2.5;Low
1978;IND;India;0.24455288;1370.2;48;437.8191791;88059999.94;52.786;2.5;Low
1979;IND;India;0.239304703;1222.3;45.78;405.4726426;96549997.57;53.319;2.6;Low
1980;IND;India;0.23299712;1350;47.65;422.9038392;110960001.6;53.814;2.6;Low
1981;IND;India;0.227726331;1398.8;51.02;438.0069081;106849999.3;54.268;2.6;Low
1982;IND;India;0.222940717;1346.4;50.71;442.798502;106240000.8;54.686;3.0510585;Low
1983;IND;India;0.217141329;1564.4;56.79;464.1769727;117949999.6;55.074;3.1534367;Low
1984;IND;India;0.213368377;1563.8;57.86;470.9742322;116420000.2;55.441;2.7;Low
1985;IND;India;0.208501196;1592.2;59.1;484.6437037;135039998.8;55.801;2.9;Low
1986;IND;India;0.20375816;1585.4;60.08;496.6394426;137140000.3;56.169;3;Low
1987;IND;India;0.199107678;1583.7;59.54;505.1790844;145929999.4;56.553;2.9;Low
1988;IND;India;0.194476469;1775.8;65.24;542.054234;170460000.5;56.963;2.7;Low
1989;IND;India;0.191125187;1916.4;68.93;562.2965719;166240001.4;57.4;3.3;Low
1990;IND;India;0.187178697;1891.2;70.13;581.2182623;188440001;57.865;3.5;Low
1991;IND;India;0.18308864;1926.3;71.13;575.5015472;132060000.2;58.353;3.4;Low
1992;IND;India;0.178934064;2024.8;74.12;595.0134623;140769998.9;58.851;3.3;Low_Middle
1993;IND;India;0.175313051;2084.9;76.9;611.1188567;135250001.9;59.349;3.2;Low_Middle
1994;IND;India;0.171874667;2115.5;79.03;639.268754;144929999.8;59.84;3.1;Low_Middle
1995;IND;India;0.167970957;2111.7;81.05;674.6195583;134130001.2;60.32;3.1;Low_Middle
1996;IND;India;0.163915612;2181;84.09;711.9288337;113260002.1;60.783;2.9;Low_Middle
1997;IND;India;0.161455685;2228.6;86.51;727.0431808;100230001;61.233;2.9;Low_Middle
1998;IND;India;0.158324276;2248.4;88.02;757.9341127;73309999.23;61.669;3.7703764;Low_Middle
1999;IND;India;0.1550732;2313.7;92.14;810.2172832;94070000.65;62.093;4.29;Low_Middle
2000;IND;India;0.152312819;2294.2;91.53;826.5924931;102879999.9;62.505;4.258092404;Low_Middle
2001;IND;India;0.149139523;2423.1;94.63;851.6165693;94890001.05;62.907;4.013623964;Low_Middle
2002;IND;India;0.146738752;2187.3;87.38;869.2013874;94100000.62;63.304;3.769155524;Low_Middle
2003;IND;India;0.143765787;2399.4;96.38;922.16796;73569999.93;63.699;3.524687084;Low_Middle
2004;IND;India;0.141357723;2350;94.74;979.2838477;78919998.66;64.095;3.264614434;Low_Middle
2005;IND;India;0.13893571;2411.6;100.03;1040.312313;95199998.43;64.5;3.13;Low_Middle
2006;IND;India;0.136133733;2446.5;105.23;1106.92647;99050000.78;64.918;3.08;Low_Middle
2007;IND;India;0.133553698;2583.3;114.49;1173.87531;93959999.44;65.35;3.08;Low_Middle
2008;IND;India;0.131589055;2637.9;117;1192.511732;71820000.88;65.794;3.08;Low_Middle
2009;IND;India;0.129687608;2580.8;114.27;1268.24921;82729998.35;66.244;3.08;Low_Middle
2010;IND;India;0.127206834;2676.4;123.19;1357.563719;84620000.73;66.693;3.08;Low_Middle
2011;IND;India;0.125554199;2860.7;130.87;1410.426305;99970002.18;67.13;3.08;Low_Middle
2012;IND;India;0.123675248;2963.5;133.81;1469.17761;84316738.52;67.545;3.08;Low_Middle
2013;IND;India;0.122139574;2969.9;139.06;1544.619247;89183468.54;67.931;3.08;Low_Middle
2014;IND;India;0.120764507;2960.4;142.88;1640.1807;97908786.23;68.286;3.08;Low_Middle
2015;IND;India;0.119423511;2856.7;141;1751.664434;102430155.5;68.607;3.08;Low_Middle
2016;IND;India;0.118129005;3021.1;144.39;1874.228561;104694949.3;68.897;3.08;Low_Middle
2017;IND;India;0.120168657;3160.8;141.7379007;1987.341151;109485446.6;69.165;3.08;Low_Middle
2018;IND;India;0.119148057;2971.599247;142.6482945;2100.80078;101994470.9;68.73032641;3.08;Low_Middle
2019;IND;India;0.118557481;3052.617393;143.4572773;1924.388377;0;68.95114107;3.08;Low_Middle
1949;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1950;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1951;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1952;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1953;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1954;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1955;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1956;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1957;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1958;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1959;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1960;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;2980.575002;0;44.947;6.595267;Low_Middle
1961;IRN;Iran, Islamic Rep.;0.66635908;849.9;14.63;3237.914518;0;45.512;6.595267;Low_Middle
1962;IRN;Iran, Islamic Rep.;0.649724561;883.6;15.46;3426.005758;0;46.069;6.595267;Low
1963;IRN;Iran, Islamic Rep.;0.633439044;857.4;15;3580.719725;0;46.621;6.595267;Low
1964;IRN;Iran, Islamic Rep.;0.61749574;850.2;15.33;3808.978866;0;47.172;6.595267;Low
1965;IRN;Iran, Islamic Rep.;0.601886453;882.1;16.42;4349.036191;0;47.729;6.595267;Low
1966;IRN;Iran, Islamic Rep.;0.586550937;883.6;17.33;4711.464413;0;48.298;6.595267;Low
1967;IRN;Iran, Islamic Rep.;0.57185668;879.8;17.52;5120.966391;0;48.888;6.595267;Low
1968;IRN;Iran, Islamic Rep.;0.558585419;875.1;19.1;5723.824595;4219999.79;49.503;6.595267;Low
1969;IRN;Iran, Islamic Rep.;0.544571993;884.2;19.71;6483.108777;3870000.005;50.148;6.595267;Low
1970;IRN;Iran, Islamic Rep.;0.531320446;884.7;20.23;7014.973638;4769999.981;50.855;6.595267;Low
1971;IRN;Iran, Islamic Rep.;0.532109065;821.9;20.3;7816.100761;5330000.111;51.661;2.6;Low
1972;IRN;Iran, Islamic Rep.;0.539545794;917.9;22.4;8706.812216;6120000.214;52.559;2.4;Low
1973;IRN;Iran, Islamic Rep.;0.546856928;924.8;23.3;9198.424781;5869999.871;53.513;2.6;Low
1974;IRN;Iran, Islamic Rep.;0.514998976;908;24.49;9524.597001;7689999.998;54.463;2.3;Low
1975;IRN;Iran, Islamic Rep.;0.484268574;1052.9;25.07;9026.29929;9200000.137;55.264;2.5;Low
1976;IRN;Iran, Islamic Rep.;0.454438185;1220.4;27.52;10266.85874;2890000.04;55.744;6.595267;Low
1977;IRN;Iran, Islamic Rep.;0.430106044;1143.4;27.6;9546.963576;8429999.847;55.827;5.2;Low
1978;IRN;Iran, Islamic Rep.;0.394651899;1200.6;29.58;7941.234438;6999999.881;55.514;6.595267;Low
1979;IRN;Iran, Islamic Rep.;0.408033518;1234.9;28.68;6862.720525;1609999.979;54.882;6.595267;Low
1980;IRN;Iran, Islamic Rep.;0.335858147;1066.9;30.18;4791.811543;49999.99888;54.114;6.595267;Low
1981;IRN;Iran, Islamic Rep.;0.337065465;1020.9;34.34;4368.627847;1250000.009;53.453;6.5;Low
1982;IRN;Iran, Islamic Rep.;0.337742012;1196.8;38.05;5335.777508;510000.0054;53.126;5.2;Low
1983;IRN;Iran, Islamic Rep.;0.32999642;1092.8;38.35;5558.011234;8029999.956;53.287;3.8;Low
1984;IRN;Iran, Islamic Rep.;0.32217068;1201.3;39.69;4865.040019;10810000.17;53.983;3.5;Low
1985;IRN;Iran, Islamic Rep.;0.314696633;1223.3;42.49;4773.002204;15370000.32;55.196;3.2;Low
1986;IRN;Iran, Islamic Rep.;0.307550174;1357;46.96;4119.412801;13450000.23;56.828;3.3;Low
1987;IRN;Iran, Islamic Rep.;0.300817783;1302.7;46.84;3989.533683;23920000.79;58.665;4.1;Low
1988;IRN;Iran, Islamic Rep.;0.293534075;1287.1;45.69;3640.31489;29240000.07;60.516;3.5;Low
1989;IRN;Iran, Islamic Rep.;0.280909109;1140.3;46.32;3736.666713;31290000.08;62.272;3.8;Low
1990;IRN;Iran, Islamic Rep.;0.269487661;1445.3;54.53;4137.057257;33659999.43;63.837;3.5;Low
1991;IRN;Iran, Islamic Rep.;0.289203873;1611.5;55.31;4543.541925;99850000.87;65.153;3.3;High_Middle
1992;IRN;Iran, Islamic Rep.;0.288684811;1706.6;62.85;4584.795879;38559999.85;66.243;3.1;Low
1993;IRN;Iran, Islamic Rep.;0.290202741;1773.4;65.33;4559.303242;44210000.03;67.137;3.8;Low
1994;IRN;Iran, Islamic Rep.;0.286133427;1817.4;66.87;4426.142905;26130000.95;67.84;4;High_Middle
1995;IRN;Iran, Islamic Rep.;0.282995542;1909.1;67.89;4464.396575;23599999.64;68.377;3.6;High_Middle
1996;IRN;Iran, Islamic Rep.;0.274452556;1849.2;72.49;4631.115409;21050000.37;68.791;3.2;High_Middle
1997;IRN;Iran, Islamic Rep.;0.261370984;1857.3;72.04;4591.425056;26140000.1;69.139;2.8;Low
1998;IRN;Iran, Islamic Rep.;0.263193947;2160.8;81.44;4630.144452;20389999.74;69.471;4.1551536;High_Middle
1999;IRN;Iran, Islamic Rep.;0.252110774;2049.7;77.05;4610.009926;20359999.98;69.813;4.12;High_Middle
2000;IRN;Iran, Islamic Rep.;0.227418861;1835.1;77.61;4818.900521;17059999.7;70.176;4.01;High_Middle
2001;IRN;Iran, Islamic Rep.;0.238693935;1932.6;79.06;4796.075687;21499999.88;70.553;4;High_Middle
2002;IRN;Iran, Islamic Rep.;0.238226181;2272.9;90.84;5080.641346;28730000.44;70.921;4.52;High_Middle
2003;IRN;Iran, Islamic Rep.;0.237761325;2383.4;94.57;5456.445319;20910000.26;71.265;4.41;High_Middle
2004;IRN;Iran, Islamic Rep.;0.237341493;2417.1;92.83;5626.71975;23200000.3;71.592;4.54;High_Middle
2005;IRN;Iran, Islamic Rep.;0.236990307;2301.2;102.57;5738.697447;10159999.94;71.917;4.51;High_Middle
2006;IRN;Iran, Islamic Rep.;0.236709756;2391.8;104.6;5957.945759;10749999.97;72.257;4.77;High_Middle
2007;IRN;Iran, Islamic Rep.;0.236470894;2454.3;114.6;6373.249584;8730000.137;72.626;4.48;High_Middle
