year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1950,1950322N07138,DELILAH,,WP,single,PHL,47.8,92.9,21323130.0,2.06593880603e+11,10638719.0,93394264553.0,0.0,0.0
1950,1950360N10141,FRAN,,WP,single,PHL,54.8,106.4,49249997.0,4.43984559143e+11,35696391.0,2.9211786246e+11,555644.0,6236062686.0
1951,1951119N06145,IRIS,,WP,multi,JPN,39.8,77.3,644914.0,53026820068.0,2.0,97942.0,0.0,0.0
1951,1951119N06145,IRIS,,WP,multi,PHL,69.6,135.3,57147773.0,5.20606400273e+11,28028984.0,2.36608191355e+11,1319917.0,12830091874.0
1951,1951119N06145,IRIS,,WP,multi,TWN,49.5,96.3,4191922.0,8.95843908147e+11,49390.0,16773399299.0,0.0,0.0
1951,1951132N18111,UNNAMED,,WP,multi,CHN,25.4,49.4,15578885.0,4.213332318e+11,0.0,0.0,0.0,0.0
1951,1951132N18111,UNNAMED,,WP,multi,HKG,24.7,47.9,8148473.0,1.22601739968e+12,0.0,0.0,0.0,0.0
1951,1951136N32292,ABLE,,NA,multi,BHS,41.6,80.9,75662.0,3442048633.0,63157.0,2781756109.0,0.0,0.0
1951,1951136N32292,ABLE,,NA,multi,USA,28.2,54.8,3949616.0,6.5869960959e+11,0.0,0.0,0.0,0.0
1951,1951138N11256,UNNAMED,,EP,single,MEX,28.7,55.8,2268531.0,42915116771.0,0.0,0.0,0.0,0.0
1951,1951152N14264,UNNAMED,,EP,single,MEX,52.9,102.8,9523771.0,1.65382186071e+11,2129638.0,31482046056.0,114534.0,2376764726.0
1951,1951169N18117,UNNAMED,,WP,multi,CHN,23.7,46.1,5200623.0,1.18444882102e+11,0.0,0.0,0.0,0.0
1951,1951169N18117,UNNAMED,,WP,multi,VNM,17.5,34.1,14.0,1372365.0,0.0,0.0,0.0,0.0
